category,movie,title,rating,genre,subgenre,theme,keyword,releasedate,country,review
Action,Death Has a Bad Reputation,Death Has a Bad Reputation (1991),8,Action,Action Thriller,Nail-biters,"manhunt, revenge, espionage, son, reporter, terrorism",,USA,"Set in England and Europe, Death Has a Bad Reputation stars Alan Howard as a crack British espionage agent. Howard breaks and twists the rules to bring terrorist Tony Lo Bianco to justice. The quest is as much personal as professional: Howard's son has just been seriously injured in a terrorist attack. Pamela Villoresi and Elizabeth Hurley costar in this fast-moving, thriftily produced thriller. One of the first of many TV movies made to order for the USA Cable Network, Death Has a Bad Reputation debuted on March 14, 1991."
Action,Sea Fury,Sea Fury (1958),8,Action,Adventure Drama,Love Triangles,"captain [military], love, love-triangle, rescue, romance, salvage, sea, treasure",,UK,"Victor McLaglen made his last film appearance in the British Sea Fury. McLaglen plays the brawny captain of a salvage vessel, while Stanley Baker is his second in command. The two men battle over the affections of South American beauty Luciana Paluzzi. Baker has the advantage, but Luciana's father disapproves. During the climactic rescue sequence, Baker proves his mettle, while McLaglen is permanently removed from the scene. Sea Fury was instrumental in the spectacular comeback of director Cyril Endfield, who'd been forced to flee Hollywood and seek out work in England thanks to the Blacklist."
Action,Tall Timbers,Tall Timbers (1937),8,Action,,,"business, logger, competition, daughter, deal [agreement], manager, forest, rival, romance, Australia, death, lumber",,Australia,"The title might suggest a Richard Arlen/Chester Morris ""B"" picture of the 1940s. In truth, Tall Timbers was filmed in Australia--New South Wales, to be exact. Two timber companies are engaged in a fierce rivalry over territory and output. The individual woodcutters are likewise at loggerheads (ouch) over money and women. Tall Timbers was directed by Ken G. Hall, one of the few interesting figures to emerge from the off-and-on Australian film industry of the 1930s (see notes on The Silence of Dean Maitland [34])."
Adult,Woman with Red Hair,Woman with Red Hair (1979),8,Adult,Softcore Sex Film,"Love Triangles,Dangerous Attraction","boyfriend, hitchhiker, love, on-the-road, seduction, truckdriver",,Japan,"Though this film is unlikely to find a wide audience in America, Akai Kami No Onna was ranked fourth in prestigious film journal Kinema Jumpo's annual ten best list in 1979, and Junko Miyashita, an icon of Japan's popular softcore films, garnered a best actress award. Director Tatsumi Kumashiro gives us an intimate portrait of the film's central character set against a working-class background.  Miyashita plays a hitchhiker picked up by a truck driver (Renji Ishibashi) who takes her back to his rundown hovel.  Claiming that she is  running away from her husband, she moves in with the trucker and proceeds to engage in a grueling routine of non-stop sex -- until her violent ex-boyfriend pays an unexpected  visit. This film is considered one of the finest movies in the Nikku Roman Porno genre."
Adult,Score,Score (1973),8,Adult,Psychological Drama,Infidelity,"search, deception, neighbor, newlywed, sex",,"USA, Yugoslavia","Two couples play a rollicking game of musical beds in this adult-oriented comedy drama. Elvira (Clare Wilbur) and Jack (Gerald Grant) are a happily married couple living on a comfortable European estate who have embraced bisexual swinging as a way of keeping their relationship interesting. The two have a standing contest in which they've established a point system for keeping track of each other's extramarital conquests; both are looking to pull into the lead when they meet an attractive young couple, Betsy (Lynn Lowry) and Eddie (Calvin Culver), with several different plans of seduction on their minds. Jack discretely pursues Eddie, while Elvira makes a play for both Betsy and a visiting repairman (Carl Parker). Directed by '60s softcore sophisticate Radley Metzger, Score was based on a successful off-Broadway play that originally featured Sylvester Stallone as the repairman. Score originally featured several brief hardcore scenes, but most existing prints are from an edited version Metzger is said to prefer."
Adult,Desperately Seeking Seka,Desperately Seeking Seka (2004),7,Adult,Film & Television History,"Obsessive Quests,Actor's Life","eroticism, film-industry, lovemaking, pornography, starlet",,Sweden,"Seka was one of the biggest stars in adult films in the 1980s; with her firm body and striking platinum-blonde hair, she was among the best-looking women in the porn business, and she appeared in dozens of successful movies, including Dracula Sucks, Blondes Have More Fun, Between the Sheets, Blonde Heat, and Turbo Sex. In the early '90s, Seka left the adult business and dropped out of sight, prompting Swedish fans and documentary filmmakers Christian Hallman and Mangus Paulsson to wonder what became of her. Hallman and Paulsson decided to find out for themselves, and Desperately Seeking Seka documents their search for the elusive former star, as they offer a glimpse of the American porn industry, talk to a number of people who knew and worked with Seka (including Veronica Hart, Nina Hartley, and Al Goldstein), and finally discover the retired starlet living quietly in Chicago."
Adult,Midnight Blue: The Deep Throat Special Edition,Midnight Blue: The Deep Throat Special Edition (2005),7,Adult,Adult Entertainment,,"interview, sex",,USA,"For over a quarter century, pornographer Al Goldstein hosted the late-night cable program Midnight Blue. This collection compiles some of the most memorable moments from the adult-themed show that featured interviews and frank conversations with a variety of figures. These clips are presented uncensored."
Adult,My Brother's Wife,My Brother's Wife (1966),6,Adult,Sexploitation,"Love Triangles,Infidelity,Cons and Scams",,,USA,
Adult,Porn Star: The Legend of Ron Jeremy,Porn Star: The Legend of Ron Jeremy (2001),6,Adult,Biography,Carnal Knowledge,"pop-culture, pornography, sex, sex-industry, stars [celebrities]",30-Nov-01,,"In 1978, Ron Hyatt was a special education teacher who, like many people, dreamed of some day becoming an actor. One day, Ron's girlfriend sent a nude photo of him on a whim to Playgirl magazine, who published it as part of their ""Boy Next Door"" feature; before long, Ron was asked to appear in a hardcore pornographic movie, and thus was the beginning of the career of Ron Jeremy, one of biggest and least-likely male stars in the adult film industry. Short, pudgy, and possessing an excess of body hair, Jeremy hardly looks like anyone's idea of a sex-show stud, but Jeremy's charm, intelligence, self-effacing good humor, and professional attitude in a business where such focus is rare made him the best-known man in porn, starring in literally hundreds of adult films and eventually breaking through to bit parts and cameo roles in mainstream features. Porn Star: The Legend of Ron Jeremy is a feature- length documentary that offers an inside look at Ron Jeremy's life and career, including interviews with his friends, co-workers, and family; the film won the Audience Award for Best documentary at the 2001 No Dance Film Festival."
Adult,Emmanuelle,Emmanuelle (1974),6,Adult,Softcore Sex Film,Carnal Knowledge,"marriage, sensuality, sex, sexual-awakening",,France,"Emmanuelle is the first and most infamous of the French softcore-porn series about a young woman's awakening to new sexual dimensions. Sylvia Kristel became a star with her portrayal of Emmanuelle, the suppressed wife of a diplomat. By virtue of her husband's profession, Emmanuelle is introduced to any number of handsome, virile men and beautiful, adventurous women, all more than willing to escort the sheltered young lady to the farthest reaches of sensuality. Nudity and eroticism abounds in Emmanuelle, but the sex scenes are discreetly photographed (shadows and elusive camera angles predominate) to evoke eroticism and suggestiveness in lieu of raunch. As the Emmanuelle series dragged on, the sex became more perfunctory and the storylines overladen with gimmicks; this film is comparatively basic and straightforward. Emmanuelle is based on the allegedly autobiographical book by Emmanuelle Arsan."
Adult,Playboy: Sex at 24 Frames Per Second,Playboy: Sex at 24 Frames Per Second (2003),6,Adult,Adult Entertainment,,,,USA,"Directed by Kevin Burns, this documentary from Playboy Home Video examines  the oftentimes tense relationship between sex, women, and popular Hollywood culture. With a particular focus given to  Marilyn Monroe, Jayne Mansfield, Jean Harlow, and Sharon Stone, Sex at 24 Frames Per Second studies the role of female sexuality  in film throughout the years."
Adult,Ichijo Sayuri: Nureta Yokujo,Ichijo Sayuri: Nureta Yokujo (1973),6,Adult,Softcore Sex Film,,"love-triangle, stripper",,Japan,"This is a softcore pornographic movie. However, it is unusual in two respects: it won an important award in Japan, where it was made, and it features a famous stripper acting as herself (Ichijo Sayuri). Her brilliant and humorous performance, and her dedication to stripping (which she believes is an art) lift this picture out of the mainstream. The story concerns her relationships with two men: one is her regular boyfriend and the other is the boss of the strip joint. When the second man is jailed frequently because Sayuri shows too much skin in her act, she is moved to console him."
Adult,Immoral Tales,Immoral Tales (1974),6,Adult,Erotic Drama,Carnal Knowledge,"blasphemy, cousin, Elizabeth Bathory, homicide, masturbation, oral-sex, orgy, seduction, virgin, blood, killing",15-May-78,"France, Hungary, Italy","In this visually stunning drama, the many faces of extreme eroticism are explored. In four episodes, beginning in the present, dreamy glimpses into the minds of unknown and famous erotic villains are screened without ever becoming pornographic. In the first episode, a girl accedes to her cousin's wish for ritualized oral sex. In the second, a very religious young woman has an erotic awakening which she cannot separate from her religion. In the third, the notorious Countess Bathory murders young girls in order to gain eternal youth by bathing in their blood; in the final episode, the daughter of the Pope, Lucrezia Borgia, has elaborate quasi-liturgical sex with male relatives."
Adult,The Erotic Adventures of Pinocchio,The Erotic Adventures of Pinocchio (1971),5,Adult,Parody/Spoof,,"bachelor, bachelorette, sex",,USA,"This is a bawdy burlesque version of the famous fairy tale. Instead of Gepetto, the old-man woodcarver, we have Geppeta (Monica Gayle), an apparently frustrated and nubile young virgin. Geppeta carves Pinocchio (Alex Roman) for herself as a gorgeous young hunk. Geppeta's fairy godmother, a blonde played by Dyanne Thorne, magically transforms the young stud Pinocchio into a living man, who is quickly brought to work in the local whorehouse as a prize stud and exhibitionist. Nothing -- not even sex -- is taken seriously in this lighthearted, semi-pornographic offering. The film was originally rated X, but was later re-edited and given an R by the MPAA in 1977."
Adult,Bible,Bible (1974),5,Adult,Softcore Sex Film,,"Bible, love, romance, sex",,USA,"Late in 1973 and early in 1974, U.S. Supreme Court decisions had left feature-film hard-core pornographers in something of a quandary. So great was their uncertainty that many of them ventured into safer waters by making films which had erotic content but precious little pornography. They also made an effort to really punch up the ""socially redeeming"" quality of their films. One such film is Wakefield Poole's (X-Rated) Bible in which he retells the stories of several great biblical romances. Adam and Eve, Samson and Delilah, and David and Bathsheba are retold with a particularly erotic focus. Poole's other films, curiously, were for the gay trade: Boys in the Sand and Bijou."
Adult,Roommates,Roommates (1982),5,Adult,Sexploitation,,"abuse, drugs",,USA,"Three New York women with a history of sex and drug abuse become roommates and grapple with their problems in this erotic adult drama from co-writer and director Chuck Vincent that notably strives to be a cut above its porn genre. Samantha Fox stars as Billie, a former prostitute now trying to forge a career as a casting director but who finds herself once again being used and abused by men. Billie splits the rent with two other young women: Joan (Veronica Hart), a drama student having an affair with her married acting coach Ted (Josh Andrews), and Sherry (Kelly Nichols), a model struggling with a drug addiction. Despite their attempts to overcome their roles and their mutual support for each other, all three roommates face challenges that threaten to compromise their efforts."
Adult,Premiers Desirs,Premiers Desirs (1983),5,Adult,,,"escapades, millionaire, sex, shipwreck, storm, widow/widower",,"France, West Germany","In yet another, conventional sexploitation film, three women are stranded on a resort-like island when they lose their boat in a storm. Each finds an apppropriate male for sexual encounters, but one has her heart set on a millionaire - a married man, in fact. She waits until the millionaire's wife leaves for an extended period of time, and then when the news comes through that the wife has died in a plane crash, the nubile young woman consoles the bereaved widower all night in his bedroom, and then goes bouncing off to join her friends in the morning, end of film."
Adult,Alice in Wonderland,Alice in Wonderland (1976),5,Adult,Softcore Sex Film,"Finding a Way Back Home,Fantasy Lands","sex, sexual-awakening, virgin, library",10-Dec-76,USA,"Though it bears the title of the well-loved children's classic, this movie is a softcore porn film which focuses on the erotic education of a virginal young woman. Many of the beauties populating this film are former Playboy models. In the story, Alice (Christine DeBell) is a librarian who discovers sex in Wonderland, a place populated with adult and erotic versions of the characters from the famous book. Two versions of this film exist: an R-rated cut, with softcore sexual content, and an X-rated cut -- for the more adventurous -- with hardcore sexual content. Fans of the picture generally prefer the former version, complaining that the addition of hardcore material ruins the film's lighthearted tone. Director Bud Townsend (Henry Jaglom's former father-in-law) is otherwise best known for the cult horror comedy The Folks at Red Wolf Inn (1972)."
Adult,The Bang Bang Gang,The Bang Bang Gang (1970),5,Adult,Sexploitation,Hostage Situations,"decadence, gangster, kidnapping, masochism, victim, violence",,USA,"A Mexican gang victimizes unfortunate victims in a bizarre series of sadomasochistic sex games in a remote barn. Chico (Edward Blessington) begins by shooting Adam (Michael Kirkwood) in both hands, stripping Dallas (Revel Quinn) and tying her across the front of a car. She is beaten bloody with a leather strap. When LeRoy (Mark Griffin) tries to stop him, he is shot. Chico forces Dallas to perform oral sex on him at gunpoint. Lila (Bambi Allen) ties Tami (Jae Miller) to the wall for the obligatory lesbian love scene. One woman is shot to make her writhe for the entertainment of her tormenters. Sex and violence galore in this X rated exploitation feature. Blessington's portrayal of Chico drew criticism from the Chicano anti-defamation league."
Adult,Scare Their Pants Off!,Scare Their Pants Off! (1968),5,Adult,Sexploitation,Kidnapping,"disfigurement, fantasy, kidnapping, sacrifice, sex, sexual-fantasy",,,"In this inept exploitation film, two men (Sean Laney, Jon Woods) kidnap several women and force them to take part in staged sexual fantasies in a secluded warehouse. The first woman must make love to a supposedly disfigured man in an iron mask, the second undergoes a mock sacrifice to an Indian god, and the third is interrogated by an officer of a Nazi-like foreign army. The film was produced by exploitation veteran Ron Sullivan, who went on to direct adult films as Henri Pachard, and the cinematography was by future action director Arthur Marks. This crude black-and-white entry is neither entertaining nor especially graphic, containing only a handful of brief topless scenes and very light, giggling bondage. The entire thing resembles a burlesque version of a Jaycees' haunted house, and director John Maddox did much better as a cinematographer on such acclaimed documentaries as Monterey Pop."
Adult,"Ilsa, She-Wolf of the SS","Ilsa, She",5,Adult,Sexploitation,Trashy,"bad-guy, concentration-camp, good-guy, Nazism, prison, sadist, sex, torture",,Canada,"One of the most infamous examples of the 1970s glut of sexy-Nazi movies is this gory, sleazy wallow in nauseating excess from director Don Edmonds. Busty Las Vegas showgirl Dyanne Thorne made her cult reputation in the title role as Ilsa, the sadistically depraved directress of Medical Camp 9. It is a memorable performance and was so popular that Thorne was resurrected in similar roles on three subsequent occasions. Despite its controversial themes, Ilsa, She-Wolf of the S.S. is much less of a death-camp movie than a mixture of women's prison thriller and escape film. No mention is ever made of gas chambers or crematoria and most of the portrayals of Nazi men seem to come straight from Hogan's Heroes (this film was made on the sets of that series). In this light, Edmonds' hybrid of gore, sex, and action is far less offensive than it might have been, and Thorne's over-the-top villainess actually makes it somewhat endearing. Although this film isn't the best in the series, and is not for the faint of heart, it has much to recommend it for genre devotees. The makeup effects by Joe Blasco are quite realistic for the time, Thorne's performance is impressively evil, and Richard Kennedy is a hoot as the jovial, piggish General. Jonah Royston's screenplay certainly doesn't skimp on exploitation elements, but it also has enough clever plot touches to satisfy those looking for a real story in between the carnality and carnage. Cult starlets Sharon Kelly and Uschi Digart also appear."
Adult,Blacksnake,Blacksnake (1973),5,Adult,Sex Horror,Trashy,"missing-person, plantation, slavery, brother, colonialism, interracial, investigation, sadist, search, suffering, torture, detective, private-detective, castration, humiliation, zombie",,USA,"Cult director Russ Meyer's biggest financial flop is also one of his best-looking films, a gorgeously photographed wallow in pre-Mandingo plantation sleaze lensed by Arthur J. Ornitz. Set in 1835, the film concerns Charles Walker (David Warbeck), who travels to San Cristobal Island in the British West Indies to search for his missing brother Jonathan. Posing as a bookkeeper, Charles arrives at Blackmoor Plantation, an illegal slavery operation viciously run by the whip-wielding Lady Susan Walker (Anouska Hempel), Jonathan's one-time wife. The usual crucifixions, whippings and interracial couplings ensue, until Charles finally finds his brother, a castrated zombie (David Prowse), who frees him as he is about to be sodomized by Susan's epicene enforcer, Raymond (Bernard Boston). The brothers run outside to find a slave revolt in progress and Lady Susan ends up hanging upside down from a cross, burned alive as her atrocities are replayed against a background of flame. A narrator then ends the film speaking about the decline of colonialism as interracial couples run naked through the fields to the strains of ""Glory, Glory Hallelujah."""
Adult,"Carmen, Baby","Carmen, Baby (1967)",5,Adult,Erotic Drama,"Small-Town Life,Self-Destructive Romance,Bohemian Life","love-triangle, police-officer, rock-music, seduction, singer, waiter",,"USA, West Germany, Yugoslavia","Radley Metzger, one of the most interesting (and certainly the most self-consciously artistic) filmmakers to come out of the '60s sexploitation scene, directed this eye-popping updated version of the classic novel by Prosper Merimee (which was later adapted into the well-known opera by Bizet). Carmen (Uta Levka), a free-spirited young woman who sometimes earns money as a prostitute, lives a bohemian existence in a small town where most of the locals allow her to do as she pleases. Jose (Claus Ringer), a naive young man who has just been hired as the town's new police officer, arrests her. However, Jose is soon drawn into Carmen's sensual spell, and he is compelled to do her bidding as she slowly brings him to his doom. Set in 1967 at the height of the ""mod"" era, Carmen, Baby is chock full of the stylish photography and tongue-in-cheek ""sophistication"" that were Metzger's hallmarks."
Adult,Getting Into Heaven,Getting Into Heaven (1970),5,Adult,Sexploitation,,,,USA,
Adult,Blind Vision,Blind Vision (1991),5,Adult,Crime Thriller,,"competition, boyfriend, investigation, killing, love, murder, neighbor, obsession, peeping-tom, shyness",,USA,"Shuki Levy, best known for his work on behalf of the Saban Entertainment animated-cartoon firm, directs a group of ""live"" performers in Blind Vision. Lenny Von Dohlen stars as nerdish mail clerk, who worships Deborah Shelton from afar. Emulating Hitchcock's Rear Window (or is it DePalma's Body Double?), Von Dohlen watches his dream girl through a highpowered lens. When one of Shelton's boyfriends turns up dead, Von Dohlen is sucked into a vortex of intrigue. Don't be lulled into the sense of deja vu in the early reels; this one's got quite a few tricks up its sleeve. Written by Levy and his frequent Saban collaborator Winston Rickard, Blind Vision costars Robert Vaughn (as ""Mr. X""!), Ned Beatty, and Louise Fletcher; the film was lensed on location in Norfolk, Virginia."
Adult,Cinderella 2000,Cinderella 2000 (1978),5,Adult,Musical Fantasy,Other Dimensions,"computers, prince, princess, orgy, virtual-reality, eroticism, search, sex",,USA,"This soft-core, tuneful retelling of the enduring romantic fairy tale from Al Adamson is set in the year 2047, a time when men and women are not allowed to touch and the only way to have sex is via computer. In this version, Cinderella meets her charming prince at an orgy. The two click and have a wonderful time, but she must leave. Unfortunately, she forgets something (no, not a shoe). Now the smitten prince must intimately ""search"" a number of young women to find his true lover. Songs include ""Doin' Without"" and ""We All Need Love."""
Adult,Kamikaze Hearts,Kamikaze Hearts (1986),5,Adult,Docudrama,Actor's Life,"abuse, danger, poverty, actor, addiction, drugs, filmmaker, friendship, homosexual, lesbianism, pornography, producer [showbiz], survivor",,USA,"Actress/filmmakers (and real-life lovers) Sharon Mitchell and Tina Mennett team up to deliver this unapologetically gritty underground drama following a pair of drug-addicted, lesbian porn stars on their hard ride to hell."
Adult,Lake Consequence,Lake Consequence (1992),5,Adult,Melodrama,,"extramarital-affair, landscaping, menage-a-trois, self-discovery, sex",,USA,"This erotic drama stars Joan Severance as Irene, a repressed housewife who develops a lustful and somewhat obsessive attraction to Billy (Billy Zane), a handsome landscaper working with a crew of laborers on her yard. With both her husband and son gone on a fishing trip for a few days, Irene becomes a stowaway in her own camper, which Billy steals for a weekend getaway with his girlfriend Grace (May Karasun), unaware that Irene is inside. After Irene joins the surprised couple, she's invited to join them as they relax in rural environs and enjoy a Chinese festival being held nearby. Thanks to the willing and able assistance of Billy and Grace, Irene also unlocks her sexual side and discovers some deeply repressed desires. Lake Consequence (1992) was created by the soft-core drama duo of director Rafael Eisenman and writer/producer Zalman King."
Adult,Supervixens,Supervixens (1975),5,Adult,Sexploitation,"Police Corruption,Femmes Fatales,Miscarriage of Justice","bachelor, escape, false-accusation, frame-up, killing, murder, sex, sheriff, violence",,USA,"Russ Meyer once again airs his obsessions with huge breasts, violent revenge and escaped Nazi war criminal Martin Bormann in this highly perverse sex comedy/action thriller. Clint (Charles Pitts) is working at a gas station (run by none other than Martin Bormann, who was working as a bartender in Meyer's Beyond the Valley of the Dolls) when his wife is brutally murdered by Harry Sledge (Charles Napier), a cop with a deeply sadistic streak. Clint tries to bring Harry to justice while Harry attempts to frame Clint for the crime. In the meantime, Clint is constantly pursued by a variety of women with improbable names, voracious sexual appetites and bodies that make Pamela Anderson look like Kate Moss. More violent and less witty than many of Meyer's films, Supervixens features a villainous performance by Charles Napier, another from Meyer stalwart Stuart Lancaster and several typically cantilevered beauties, including Haji, Shari Eubank and Uschi Digard."
Adult,The Nine Lives of Fritz the Cat,The Nine Lives of Fritz the Cat (1974),5,Adult,Fantasy Comedy,"Fantasy Life,Down on Their Luck","cat, drugs, fantasy, life-changes, nag, on-the-road, sex, street-smart, welfare [govt. aid], wife",,USA,"In this follow-up to the 1972 animated hit Fritz the Cat (the first animated feature to receive an X rating), Fritz (voice of Skip Hinnant) is married, out of work, on welfare, and not at all happy. Desperate to blot out the misery of living with his nagging wife (voice of Reva Rose), Fritz smokes as much marijuana as he can afford and finds himself fantasizing about how his life could have been. His Walter Mitty-like adventures find him travelling in outer space, working at the White House, assisting Adolph Hitler, and becoming involved with African-American radicals. Unlike its raunchier predecessor, The Nine Lives of Fritz the Cat only merited an R rating upon initial release. Neither Robert Crumb (the comic artist who created the character) nor Ralph Bakshi (director of the first film) were involved in its production."
Adult,Vixen,Vixen (1968),5,Adult,Sexploitation,Infidelity,"cabin, extramarital-affair, hijacker, husband-and-wife, incest, pilot, racism, sex, vixen, Communism",,USA,"Tom Palmer (Garth Pillsbury) is a good natured ""bush jockey,"" flying chartered tours in and out of scenic British Columbia and entertaining visitors at his remote mountain cabin. He shares his secluded home with his wife, Vixen (Erica Gavin), a hot-blooded wildcat of a woman who is irresistibly drawn to illicit physical affairs despite truly loving her husband. Her pants are even hot enough to flirt shamelessly with her own brother, a motorcycle riding hooligan named Jud (Jon Evans), though his African-American friend, Niles (Harrison Page), earns nothing but Vixen's racist contempt. When Tom brings a wealthy young couple to the lodge for a few days of fishing, Vixen goes on the offensive and soon has her way with both visitors, helping to patch up their marriage in the process. Next she decides to ease the sizzling sexual tension with her brother by joining him in the shower, and their incestuous coupling is witnessed by Niles. Again, Vixen cruelly insults his race and taunts him for dodging the American draft by heading for Canada. Frustrated and angry, Niles starts talking with Tom's new charter flight customer, an Irishman named Mr. O'Bannion (Michael Donovan O'Donnell), who is secretly planning to hijack Tom's plane to reach Cuba. He's a Communist, and after a political debate, Niles decides to join his cause and help O'Bannion carry out his terrorism. Once the felonious duo are up in the air with Tom and Vixen, though, she refuses to keep her volatile tongue still, and nothing goes as planned."
Adult,Country Hooker,Country Hooker (1974),5,Adult,Crime Drama,"Prostitutes,Musician's Life,Double Life",,,USA,"A pair of red-hot pickers end up on the wrong side of the law in this softcore sex romp from producer Harry Novak. Dave (Ric Lutze) and Billy B (John Paul Jones) are a pair of country musicians who have just lost most of their band and are in dire need of a gig. When they come to the aid of a pair of sexy women whose car has died in the desert, Sue (Rene Bond) and Jen (Sandy Dempsey), they not only find unexpected romance, but get a line on a gig playing at a roadhouse where the gals are working. Mike, who runs the bar and leads the band at the club, gives Dave and Billy B a break, but there are a few things the boys don't know about their new boss -- when he isn't singing, Mike is a pimp whose stable of women includes Sue and Jen, he deals drugs on the side, and he doesn't take kindly to anyone who gets in the way of him making a dishonest dollar. Country Hooker was one of many screen pairings for Rene Bond and Ric Lutze, who were married in real life."
Adult,Angel Number 9,Angel Number 9 (1974),5,Adult,Heaven-Can-Wait Fantasies,Reincarnation,"angel, life, oppression, photography, playboy, pregnancy, role-switching, second-chance, woman",,USA,"This surprisingly well-made feminist twist on the hardcore genre was directed by cult filmmaker Roberta Findlay (Snuff). The plot features a boorish playboy named Steven, who is hit by a van and goes to Heaven where Angel Number 9 (Jennifer Jordan) tells him he has to return to Earth as a woman to see the error of his ways. Now named Stephanie (Darby Lloyd Rains), the former lothario is used, abused, and, when she becomes pregnant, dumped by a cruel photographer (Jamie Gillis in yet another role as a swine). Most adult films have always been aimed at male audiences, but Findlay defies formula expectations by taking men to task for their heartlessness and discussing such topics as unwanted pregnancy and abortion in a surprising context. Given the financial riskiness of such decisions, Findlay remains one of the few directors whose hardcore films are far more interesting than her pedestrian mainstream efforts (Blood Sisters, The Oracle)."
Adult,I Skorpionens Tegn,I Skorpionens Tegn (1977),5,Adult,Sex Comedy,,"espionage, microfilm, search, secret-plan, top-secret",,Denmark,"An otherwise conservative Danish government removed all censorship on pornography in the late '60s and one of the results was the low-budget Signs of the Zodiac series, of which I Skorpionens Tegn (Agent 69 Jensen In the Sign of Scorpio) was the penultimate installment. Genre-regular Ole Soeltoft plays a secret agent on the trail of a CIA microfilm hidden in one of five women's compacts. Most of the action in this softcore presentation happened between the sheets in a tired plot that stretched from Morocco to Copenhagen but obstinately refused to go anywhere. The film's line producer, Vibeke Windelov, later produced Lars von Trier's Breaking the Waves."
Adult,Indecent Behavior,Indecent Behavior (1993),5,Adult,Erotic Thriller,,"bisexuality, blackmail, experiment, extortion, false-accusation, investigation, killing, love, love-triangle, murder, sex",,USA,"Shannon Tweed brings her usual physical attributes to this soft-core mystery thriller about one psychologist's ethical misadventures. Tweed stars as Rebecca Mathis, a sex therapist with a troubled past. As a college researcher, she used a sexual stimulant called Extremis on a student test subject, killing him. Now Rebecca is a respected professional, though her wheeler-dealer husband Tom (Jan-Michael Vincent) is making her life miserable, pressuring her for money and carrying on an affair with her niece Elaine (Brandy Sanders), who works as Rebecca's assistant. When the death of a patient brings hard-boiled Detective Nick Sharkey (Gary Hudson) to her door, the aroused Rebecca is soon involved in a passionate affair with the veteran cop. When Tom ends up in legal trouble, he exposes Rebecca's continued experimentation with Extremis, but the courageous Nick volunteers to act as a human guinea pig and once and for all remove any doubts about Rebecca's guilt in using the substance."
Adult,"Cherry, Harry and Raquel","Cherry, Harry and Raquel (1969)",5,Adult,Action Comedy,"Love Triangles,Femmes Fatales","drug-smuggler, love-triangle, sex-starved, sheriff, drugs, outlaw [Western]",,USA,"This Russ Meyer blend of action, rapid-fire editing and large-breasted naked women takes place near the Mexican border, where town sheriff Harry (Charles Napier) is under the thumb of corrupt local bigwig Mr. Franklin (Franklin H. Bolger). In between athletic bouts of sex with various bosomy women, Franklin orders Harry to kill a mysterious figure known as Apache (John Milo), who is trying to corner his lucrative pot-smuggling racket. Meanwhile, Meyer constantly intercuts unrelated scenes of a nude Uschi Digart jumping around naked in an Indian head-dress, bouncing up and down on a jeep, and crawling through the sand in boxing gloves and leather boots. By the time the main story reaches its bloody climax, Digart is in a swimming pool beating the surface of the water with a tennis racket and wearing an oboe on her head."
Adult,Jailbait Babysitter,Jailbait Babysitter (1978),5,Adult,,,,,USA,
Adult,Blue Movie,Blue Movie (1971),5,Adult,Softcore Sex Film,,"impotence [lack of power], revenge, seduction, sex, sex-offender",,"Netherlands, West Germany","This pornographic film is of historical interest as it marks the first film produced in Holland with full frontal nudity for both sexes. While it has its share of graphically depicted sexual scenes, it also has a story. Released from prison for sex offences, a young man moves into an apartment house with very thin walls, and the sounds he hears make him believe his neighbors are having sex all the time. He has a married neighbor, a professor. The professor arranges things so that his wife can meet and seduce the sex offender, possibly so that the humiliating revenge of impotence can be visited upon him."
Adult,The Alley Cats,The Alley Cats (1965),5,Adult,Sexploitation,"Romantic Betrayal,Playing the Field","bisexuality, design, elegance, fiancee, lesbianism, lover, music, photography, sexploitation",,USA,"An early work from Radley Metzger, the king of elegant sexploitation in the 1960s, The Alley Cats blends a broad, soap-opera plot with Metzger's trademark fascination with lesbianism and bisexuality. Leslie (Anne Arthur) is engaged to marry Logan (Charlie Hickman), while Logan is fooling around on the side with Leslie's friend Agnes (Karin Field). Leslie has been playing the field as well, but when both Logan and her secondary lover of the moment, Christian (Harald Baerow), are both out of town, Leslie finds herself drawn into an unusual affair with the beautiful and mysterious Irena (Sabrina Koch). Set in Berlin (though the characters' accents don't sound terribly consistent), The Alley Cats features the fine photography, interesting production design, visual elegance, and tongue-in-cheek wit that set Metzger's work apart from most of his peers, though this film lacks the self-conscious artistry of Therese and Isabell and The Lickerish Quartet."
Adult,Wife To Be Sacrificed,Wife To Be Sacrificed (1975),5,Adult,Erotic Thriller,"Woman In Jeopardy,Treacherous Spouses,Out For Revenge","sexual-deviation, kidnapping, ex-wife, perversion, rape, sexual-slavery, torture",,Japan,"Masaru Konuma directs this 1970s landmark of Japanese exploitation cinema, a wildly over-the-top softcore S&M drama based on a book by famed erotic writer Oniriku Dan. Kunishada (Nagatoshi Sakamoto) is an unabashed pervert. One day, he happens upon his kimono-clad ex-wife, Akiko (Naomi Tani), kidnaps her, and drags her to a secluded old house up in the mountains. At first he merely ties her up and humiliates her, but after she cuts him with a razor the real horror show begins. Soon Akiko finds herself tied up in a variety of exotic knots and covered in hot wax. Later, after an escape attempt ends in Akiko being raped by two darkhearted hunters, she awakens sexually and starts to enjoy her debasement. About the same time, Kunishada discovers a suicide victim in a cave. What starts as a pleasant necrophilic fling abruptly ends when he realizes that the would-be suicide Kaoru (Terumi Azuma) is not quite dead."
